    PID    PPID    PGID ELAPSED   RSS %CPU STAT COMMAND
 842148  842144  842144     740 67777736 991 Rl /mnt/niva-array/nsbu-solver/work/p10-n384-endpoint-prep-20260912/deployment/569fd0ced7a755b1f6c066a7c00016f537fbc4bf/p10-avx-matched-n256 run /mnt/niva-array/nsbu-solver/work/p10-n384-endpoint-prep-20260912/evidence/p10/avx-matched-piecewise-20260912/runs/n256-local-569fd0c/output/state
 430766  430765  430765   20349 63335844 739 Rl target/avx-scheduled-endpoint-n256-81bd07e/release/p10-avx-scheduled-endpoint run evidence/p10/avx-n256-profile/endpoint-run-81bd07e-b
  13995   13983   13983   52201 1181368 4.0 Sl+ /usr/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/bin/codex --dangerously-bypass-approvals-and-sandbox
   2889    2838    2889   53251 185792 0.1 Ssl  /mnt/niva-array/paperqa2/.venv/bin/python /mnt/niva-array/paperqa2/mcp_paperqa_server.py --transport streamable-http --host 127.0.0.1 --port 8765
   2879    2838    2879   53251 166104 0.2 Ssl  /mnt/niva-array/agent-system/vendor/hermes-agent/.venv/bin/python3 /mnt/niva-array/agent-system/vendor/hermes-agent/.venv/bin/hermes dashboard --host 127.0.0.1 --port 9119 --no-open --isolated --skip-build
   3762    2838    3762   53230 76932  0.7 Ssl  /usr/bin/python3 /home/todd/.local/bin/symphony WORKFLOW.papers.md --log-level INFO
  67371       1   67371   49953 69232  0.0 Ssl  /usr/libexec/fwupd/fwupd
  13983    4573   13983   52201 49456  0.0 Sl+  node /usr/bin/codex --dangerously-bypass-approvals-and-sandbox
   2506       1    2506   53256 46300  0.1 Ssl  /usr/lib/snapd/snapd
 862571       1  862571       0 35904 20.0 Dsl  python3 /usr/local/libexec/cmp90hx-fan-curve
   1722       1    1722   53261 30396  0.1 S<s  /usr/lib/systemd/systemd-journald
  16170   13995   16170   52158 29228  0.0 Sl   /usr/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/bin/codex-code-mode-host
   1760       1    1760   53260 27428  0.0 SLsl /sbin/multipathd -d -s
   2878    2838    2878   53251 25952  0.0 Ss   /mnt/niva-array/agent-system/vendor/hermes-agent/.venv/bin/python /mnt/niva-array/agent-system/deployment/controller.py
   2577       1    2577   53256 23268  0.0 Ssl  /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2886    2838    2886   53251 20692  0.0 Ss   /usr/bin/python3 /mnt/niva-array/agent-system/deployment/qwen_relay.py
   2962    2879    2962   53247 16636  0.0 Ss   /usr/bin/python3 /mnt/niva-array/agent-system/deployment/documents_mcp.py
      1       0       1   53268 14328  0.5 Ss   /sbin/init
   2512       1    2512   53256 14260  0.0 Ssl  /usr/libexec/udisks2/udisksd
   2963    2879    2963   53247 13260  0.0 Ss   /mnt/niva-array/agent-system/vendor/hermes-agent/.venv/bin/python3 /mnt/niva-array/agent-system/vendor/hermes-agent/tools/mcp_death_supervisor.py --parent-pgid 2879
   2458       1    2458   53257 13020  0.0 Ss   /usr/lib/systemd/systemd-resolved
   2590       1    2590   53256 12944  0.0 Ssl  /usr/sbin/ModemManager
   2838       1    2838   53251 11768  0.0 Ss   /usr/lib/systemd/systemd --user
   4460    4459    4460   53150 10628  0.0 Ss   sshd: todd [priv]
   7686    4459    7686   52793 10596  0.0 Ss   sshd: todd [priv]
   2301       1    2301   53258 10068  0.0 Ss   /usr/lib/systemd/systemd-networkd
 774664  774663  774663    5722  9380  0.0 S    ssh -o BatchMode=yes 192.168.88.228 bash -s
  68574       1   68574   49892  9012  0.0 Ssl  /usr/libexec/upowerd
   2509       1    2509   53256  8984  0.0 Ss   /usr/lib/systemd/systemd-logind
   1764       1    1764   53260  8432  0.1 Ss   /usr/lib/systemd/systemd-udevd
   4459       1    4459   53150  8180  0.0 Ss   sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   2498       1    2498   53256  8104  0.0 Ssl  /usr/lib/polkit-1/polkitd --no-debug
   2459       1    2459   53257  7928  0.0 Ssl  /usr/lib/systemd/systemd-timesyncd
   7771    7686    7686   52791  7112  0.0 S    sshd: todd@pts/1
   4572    4460    4460   53148  7076  0.2 S    sshd: todd@pts/0
   2556       1    2556   53256  6556  0.0 Ssl  /usr/sbin/rsyslogd -n -iNONE
   4573    4572    4573   53148  5768  0.0 Ss   -bash
   7772    7771    7772   52791  5736  0.0 Ss+  -bash
 862561    1764    1764       0  5664  0.0 S    (udev-worker)
   2491       1    2491   53256  5560  0.0 Ss   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 862590  862581  862581       0  4908  0.0 R    ps -eo pid,ppid,pgid,etimes,rss,pcpu,stat,args --sort=-rss
   2457       1    2457   53257  4176  0.0 Ss   /sbin/rpcbind -f -w
 862583  151855       0       0  4072  400 R    /sbin/modprobe -q -- char-major-195-255
 862581   13995  862581       0  3724 57.1 Ss   /bin/bash -lc mkdir -p evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw date -u +%FT%TZ > evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/start.utc awk '/MemAvailable|MemTotal|SwapFree/ {print}' /proc/meminfo > evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/memory-before.txt ps -eo pid,ppid,pgid,etimes,rss,pcpu,stat,args --sort=-rss > evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/processes-before.txt set -o pipefail NSBU_RUN_M512_W3_FORCE_CONTROL=1 /usr/bin/time -v -o evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/m512-force.time timeout 600s cargo test -p nsbu-benchmarks --test parallel_reduced_w3_m512 -- --ignored --exact m512_w3_force_matches_serial_bits_work_and_steady_allocation --nocapture > evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/m512-force.stdout 2> evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/m512-force.stderr control_status=$? printf '%s\n' "$control_status" > evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/m512-force.status date -u +%FT%TZ > evidence/p10/avx-m512-force-profile-20260912/review-control-20260912T2218Z/raw/end.utc exit "$control_status"
   2495       1    2495   53256  3640  0.0 Ss   /usr/sbin/fsidd
   2850    2838    2838   53251  3592  0.0 S    (sd-pam)
 774663   13995  774663    5722  3576  0.0 Ss   /bin/bash -c ssh -o BatchMode=yes 192.168.88.228 'bash -s' <<'REMOTE' set -u p=/tmp/nsbu-p10-sulaco-20260912T1420Z/n384-piecewise-cadv33-aed49b7/endpoint last=9 while kill -0 184964 2>/dev/null; do   bundles=0   for d in "$p"/output/step-*; do     [ -d "$d" ] || continue     [ -s "$d/attempt.json" ] || continue     [ -s "$d/record.json" ] || continue     [ "$(stat -c %s "$d/state.bin" 2>/dev/null || echo 0)" -eq 1366033529 ] || continue     bundles=$((bundles + 1))   done   lines=$(awk '/^attempt=/{n++} END{print n+0}' "$p/run.stdout")   n=$bundles   [ "$lines" -lt "$n" ] && n=$lines   now=$(date -u +%FT%TZ)   read rss hwm swap < <(awk '/VmRSS:/{r=$2}/VmHWM:/{h=$2}/VmSwap:/{s=$2} END{print r,h,s}' /proc/184964/status)   printf 'sample utc=%s completed=%s rss_kib=%s hwm_kib=%s swap_kib=%s\n' "$now" "$n" "$rss" "$hwm" "$swap"   if [ "$n" -ne "$last" ]; then     awk -v m="$last" '/^attempt=/{n++; if(n>m) print}' "$p/run.stdout"     last=$n   fi   if [ "$n" -ge 48 ]; then exit 0; fi   sleep 300 done printf 'solver_exit utc=%s\n' "$(date -u +%FT%TZ)" tail -n 12 "$p/run.stdout" REMOTE
   2980    2838    2980   53245  3564  0.0 SLsl /usr/bin/gpg-agent --supervised
   2470       1    2470   53256  3056  0.0 Ss   /usr/sbin/nfsdcld
   2817       1    2817   53251  2904  0.0 Ss   /usr/sbin/cron -f -P
   2814       1    2814   53251  2404  0.0 Ss   /usr/sbin/rpc.idmapd
   2824       1    2824   53251  2072  0.0 Ss   /usr/sbin/rpc.statd
