# Hash-bound inventory for n192-local-569fd0c
# attempt	step_dir	from	to	ticks	outcome	steady_allocations	attempt_sha256	record_sha256	state_payload_sha256	observer_sample
001	step-001-clock-0064	0	64	64	committed	0	b303d6fb1c59ecf01607012e553f7e4dc35a6359ef0aac22b40277ae6c8d2bd8	551b1972831ac42548df4b06ddc6218bded813fb921eb773c2b14e487f9f1d9a	55f37b2c6ba1695c372b1b30a47a40c41c0125e3ab624d71ae3f3b63e616f466	False
002	step-002-clock-0128	64	128	64	committed	0	4b22a80b6b600840acba81364d0e1c79e8c4fad623ca5f19bc4480fb603ccbe4	6f60e1a830d5ae5653e7119496d5a1ac74db5ee15bef6d9ddad9576c9fc068b5	78b2425f3b7d686cb13b23248797486aa92f2be0c5e071f95d523caf8ade26b2	False
003	step-003-clock-0192	128	192	64	committed	0	15f289bb37ebcf01bd01837610298a080e01a90e2477411f1f714159442c5f5f	7d097d01dc2a94defbcc80c1e135a532e45289532930428748591ec10a61506a	7f4749e774b84441dfbbce9d4c26398623932bd9703f551e58327a1f86071613	False
004	step-004-clock-0256	192	256	64	committed	0	9d84d7c4a2240268c031ff3978a9d50b35dcd73aee1922e97e486c78fd145ad5	6266b1a1d5c691cea94ea2076e9c18201945d527004c8182f4b9b2f2a41e0581	4e806399536edc9d0718bdfa05839c455412dde183a8ab8eca4b9e387e839197	False
005	step-005-clock-0320	256	320	64	committed	0	fb94c7356a8b10288440802998b2866a8f2394ee58fdb5df33a15dd29e02b4bd	a92454829c0c0dc278b77b6d09eb756ffd717c71932f5680b27a9c7a5a4baa10	9316f31b7378405f1b4194c8877ecef98ec08b427098a6dc6cf5c8cd46576ddf	False
006	step-006-clock-0384	320	384	64	committed	0	b66495190fd76d13ffe3577c80c4a027d486227db090b09d0637c7a9aa36925c	a9907ae317e88bfb28199b56663d621bac1cd4f2dde7685fc0604c7180dc46e1	6232d1540c2acab656bfb0d181265ff54940736216c6158bfd6bc19af1d9a320	False
007	step-007-clock-0448	384	448	64	committed	0	1f328119440290bfdaa8cd79883adaf85ef1c1a419f0e2d90edfcd7a0a16de88	42ecfee008b493c9053253bdccd6a59653ea2b9633204ab13a1827f29b4284d1	7e002f16b74e8312b7a5221e8fbc923bbb0540430144b4dd73b3f35931814a57	False
008	step-008-clock-0512	448	512	64	committed	0	ac1c5306e3da7f637245529956ecc408e7b432b9698ff4840a047f3ce9d0a1f9	a8863620052a1e353c306afc76f1b18f343a9e828ddda1c2cb0bd154efd07fa8	353cdc773630eebcfb0c69920970b0cd6b33d2dde014b419cc47bd48a692b9ac	True
009	step-009-clock-0576	512	576	64	committed	0	8027cb12c9fd193abdaee2d80d6b0e3ad3ddeaf4b17bff59ac93d12d4145979f	dacb586832fbe9fa43589786c8f8deb417bcab44c498f6571cbc8dfee6e79c6c	b982d5fa5787987f7c1dde24974e9d8f644074c35c0a2e612678e3f1a8640290	False
010	step-010-clock-0640	576	640	64	committed	0	61ec0abeda4d7f9fe64e63739e0ba3f560e166829ffea16ade52c7874b1a3a9f	b15d6224bbb3ef7c29fc85c0f63afc6a70670755072433f068fea15733621f6d	34d21e3feeeebfe8b60604f80207b19aa4347de6ddc74cd10bc3d1cf8f7faaf1	False
011	step-011-clock-0704	640	704	64	committed	0	7010f202a55ea09c2e8fa914e592bb2a57aadba4b7bb4905895b26c5d7064c4b	76385ad9b65ba03e5d4a14eb9f4e972346dda8537b9a40cacfa85d6fc417e236	7ac85bee744a1ffd09500563d07bc43910735e943f9b2c16bddf0acd1853e4c6	False
012	step-012-clock-0768	704	768	64	committed	0	db0f71fc4f68364994e156c6c64bbfc581ab7da535c2b1144435df9d4d6ee8a1	24ba75cca173e139edaf399727ea5d2b69748169d6af1634853f3cfaf50ef2ca	f28ec416190dfcf33bee5164a07cc88916c6843d85bb25fee05acc27a9676fb6	False
013	step-013-clock-0832	768	832	64	committed	0	1ee8880c596c53c6a519749b6c3c99dafbfaed51ba71363ba6d2a1a7b6b9e3ea	b94d67f1bdbd81bdbcaaf0d4ab9cdc633eef0a3ea1b3b0b5ba597dff22753f9b	33c7a1d2ad4aa74466b084f81f4d4514a536c97c9dd156a1e16511a057457e7c	False
014	step-014-clock-0896	832	896	64	committed	0	c80cd35b16aa1bfc0ceb0c8fda867b281e9bba69697d618ffc577cdd60a8bf08	0531fa9c60b23d286852eb6a2acb1a19447381eb1fefd7ca6eff0dda96e1ed35	83d3e2a100407c932d4f51e8b3b2345a3a13a43dd9f67effed9eed46d8a4da46	False
015	step-015-clock-0960	896	960	64	committed	0	5b8cd07ab18468cedd7014e0aef20150b87e99ca40279a996c085852ccd11077	c229d2e26394bebbfeea55892564d9555eae8653443ad1afde665c084beda2aa	edd638ad2801ca48879c958605b412520b41521825c466a0963e327d44f9b1a1	False
016	step-016-clock-1024	960	1024	64	committed	0	b154a52d589c0b22ce0bd1ea2ee33503e75dad5fe00ed60f004737131e0279a2	42a5f8dd60144415b82ad5cf21e8b40d56d3a98a28194918ce45e14e150c9155	38be529d4b50f34a0ffe5cd4f24223afc5185926ecb41dcb3505260729b699f1	True
017	step-017-clock-1088	1024	1088	64	committed	0	b09a368ac9ca9cff6cfb18a9bd41f8e7617e28417e2b403e1009c6a4007b2285	bffabd445157977dcd115ca0412fddb7fc17d24a8cca349765b2167968a43155	c2d6aa4e3f03a53e4d5e2c756aa49ab1db10db94d945051bec03b5377854d99a	False
018	step-018-clock-1152	1088	1152	64	committed	0	0d85023657a13bfb8c1dc0bb9c601db240c7e6af195799325822bdd3ac05986a	d2b2b7b6537aa0ed9d88ede98aee295d0ba4e83bd18c1a10c130da715d82b9ba	829f25291166f208185a7431113d1e24736b06196f6341267a27e7bb04cd8dbd	False
019	step-019-clock-1216	1152	1216	64	committed	0	ffe265bb72cdde1e1fffff3f8c35b98d566c9e19da3915ab3c98f6adb4877a0f	86920fc1144f8205e0beba11c6b014b805c3e4755ff900c10e38d2a606a2e9ea	9ba522e6e406b7c7d85eb3cc3830502534e3432be4315d1b60ace6024587abe5	False
020	step-020-clock-1280	1216	1280	64	committed	0	563b68f61fb9a28c855d438c745f3dbdc23135094405b1951942acd695ca0a5e	bacaa55d4532a7fc809283ef1d0819efcef6e55c3b8770ce408029f9d9a286e9	a32cb72d3230a47152dbfc67fcb90bd1e57f0e32004a3148733d2b309f60df1d	False
021	step-021-clock-1344	1280	1344	64	committed	0	a76ada85f92e80b98786a06fafd527dfba03ed15f98e62d3381ab9ca48c29739	7c0e27753aeb76c77de72d46171b285b598383ab185f8576e5a55968c28b568a	2c0d79626a1cc160564c7c9bdc61729018c79ac324bac25ab515f93a2f560782	False
022	step-022-clock-1408	1344	1408	64	committed	0	c551f1b74b2fceb5e157912e4b0492b78e529ccc2193b7f2c9b9851eddd3352b	251eb8968b3a0fbe6e4b5b7006190eeb8a7b049c9b55ce114ca5bbb7fc6c61e5	619ff372fc52111b75a63b9e5e98da32ef3a151d364f74b1c3b3afd106d50353	False
023	step-023-clock-1472	1408	1472	64	committed	0	a3a8402da22ed46ed0c41f9c53fef8d689bdf4139039722ba1042fbe27ab49ff	724ffb0de68bcd05c85d96cc7b19ae638ef6ded9c2facc733b269ad9e53818f0	9f146108a4f5bbc183997ea30300eda8376031ea3f3ce14eac9c4ef6f5b20980	False
024	step-024-clock-1536	1472	1536	64	committed	0	80b492a7b1355ecef0643b03c766b4a5fc7edb6437dd427864cbbc0de4bee142	4c053004fd3aea93a1e729944c242f51a75fbd947f2e58eb627b7967d558bc39	e1d37e02ad9b84d02eca1a4510737d899c124117eb5aaba43310b5db23accd1c	True
025	step-025-clock-1600	1536	1600	64	committed	0	7bdb29fb154b506bdc4cdfa4891d12ed51663b0de1c5e2aaa2d848ae2c46dc97	436f040dfdc35f57d142c65a0a226758db7bc22efba07a941b315ecbaa34bae6	a6285eaf536c999611991cf73bbe1cdc24694d8d3fe32f205689d8fd8cf12cb7	False
026	step-026-clock-1664	1600	1664	64	committed	0	1798f9611856c59080c92675243226086d1769ac1f30d6a3fae892b2cae9053c	fcfdd2c9326339590dc9a768eab16e2424d9e1507b3a0263ffce3780f87e8b23	1c1cad5f0dd4164c213ce3c630c1a81c33808b045078fa030d89a29e95c6f303	False
027	step-027-clock-1728	1664	1728	64	committed	0	04028e8379ea367bd3916a297d3943dbbba88a0d744ff1788a67aeb5cd99eb77	c3f085624308b085ba57569e0a9fb2e5ea2449d42471495976aae41bee889877	701c421f5eaac4d8c8cb0c38b533d56500c668e8ab48feb924deb33fd012674a	False
028	step-028-clock-1792	1728	1792	64	committed	0	440f0db048f6662eb22971cece066c0257c0a20553b98f2275806488dd2b1597	b888d837b588b3c9e7b53708ea2de4e10ca06fe78e64aa0f45b9cffe62db0747	8143348858a0aa2af791c08af1fb3adcb4a531d3ad981983d9264def9475079c	False
029	step-029-clock-1856	1792	1856	64	committed	0	7902c9373dc6883fe7758d31ae7b8768fa73068e3be45b7dfdad55da0620354e	db906c4254ef96232b8338d5c31a573e6d460aa95f1fc170f5b3c1acef78d859	937df9500076f569975526f9a26638332dd0eb36cd6b274f335ac55b32ca3bf9	False
030	step-030-clock-1920	1856	1920	64	committed	0	dd9b94bb1da3fac0042a586aff61efef8afcbd3e26cc58c0a8cb643a87b3193a	071f58f8b285a31490210433d46096df402281a341e320e06948a5fbdd3e2c90	c118a53836715dc2505ef744bc401f8cc9274a444d7fc04aa38fe3576e1a3657	False
031	step-031-clock-1984	1920	1984	64	committed	0	0482c327334b294266bbd5ef3d2f3327053b89ca3401b0c3e9d0adb637fc4191	8fdcd3bde1780bd3a5230fb6a96285adcfe62d7167596cdeff2bbb3facbc704b	0361ed41c15df3c8577e7c4e5418f4734f9f4a12174ad77118226114c924bd18	False
032	step-032-clock-2048	1984	2048	64	committed	0	ee5cda9927f06454e27fe69b745fa2282bcd00eb598d6e5519ff297d245ec756	06567bc852228be479716e129e664f2e6d52e291602fc72d1172c636830eaf25	8362e5e9f643ea94663ef87258931a544afabccc58e8a3a8c8ac1b0ccebc2869	True
033	step-033-clock-2176	2048	2176	128	committed	0	404426ba61e1831891c6465a605031f9c67c0abc1a1643d173ff7fa693b65f75	8d428d616cdbf2bd3eab94e9c93163bd8ccf42491dad680cfb720ac0fa636fbf	bb6a327c3993622863bd69145e58ad606bd417f3580680a9fb13ecf7f04a27ee	False
034	step-034-clock-2304	2176	2304	128	committed	0	2a560ff6cc3d88179de30d7b7e12d843c3db6fe16d16c6008e85aeabe169405d	c7ec8a1776b6404d787b3151597d1d54b3d23f82c31f58c6d6b4fd7569029237	3e5209e8d3e39c67b14c0e22ac5182b0751e45a6eef6671432f9e0104dce3815	False
035	step-035-clock-2432	2304	2432	128	committed	0	717610014c21913440a8979e6371230f36ea14e17191f43017bfb519f0c390bc	e52147892547a2b5e713065a6b60807db5bbbb7b4dc601dbd4e6e5e7291376fa	99541faca394958751b5b2813b806a6ee3050969e0aef0a4e070fc9c68d167a4	False
036	step-036-clock-2560	2432	2560	128	committed	0	5996d43d2a0a73a4770432e2eb1c292a7df0a76eadf121389eb8a65f0c6432f6	e45ea78dd0a271851e2581a8b30252865fd5acd32aa223b5d0f5a25d538f2dc6	4504271f4d9ae63bd57b3e8e4ac020505153f9ecc2c26d759470cb5ef24674f9	True
037	step-037-clock-2688	2560	2688	128	committed	0	b3e4a781892dda5abb01f0e8027117edc5d6d0d1b0296f76ba31c7b2f46a9b5e	1f6a6b60406cb4e6cc5dbe4538d5384e281ef2f6a54d271861fff40f3ee07f00	042111ab9cbd53de751f802705aaf6018e976444a704c54e1decdef83460b8a2	False
038	step-038-clock-2816	2688	2816	128	committed	0	e7e9cea21562a7695fbc7a26489fef7e89a5f6373539b6b6b285017e1a79ffb0	9844ed195c510057aca6771b15ab999ca3cab527227f73f2aafa199e002fe3db	246d6c5dacbfcd46e7550e253f832fdbef38d44a8b883481feff2881c2deb419	False
039	step-039-clock-2944	2816	2944	128	committed	0	b0a1bd6afb23d673b9f699f3d973529062dd415fe7be471fa06fac785524998a	054a18497b360399b60ccd4a88a9d78a52abb4c8b2afc98fe416eab6877aa239	fa7337ba5747e2288a4baef816e22223cc2d19ff97b7571b621fd2225dc787c8	False
040	step-040-clock-3072	2944	3072	128	committed	0	c7c5de322e02b729aada7f0df0881c927c84f98a80de4f2c21a812e5814cf0d7	a69ec70f6b003f59e0cfddcbd44168d49ee95db40e1172a54bf5aef1386b4d48	c8cf7a030afe3fac41dfe4065f1264e14b7b520096e9fc702bf4d819615bc852	True
041	step-041-clock-3200	3072	3200	128	committed	0	e8a68fb8106e1ab3a70bbcce99ae7ff33fb51bb9cf29ff1dda83eb3b0eb2fdd0	7f03515f6a54326644389a0da049e02e184feb15bc53b7688f9ee4f76f68f557	13dd18efcc55bd92e3addd0c40bee003d80e0bc8f5441365933bd854f73e3bd3	False
042	step-042-clock-3328	3200	3328	128	committed	0	b2e5c25ad5ccca057d471173f997357e1986e6471565900fe4039acdee30a9eb	4bddb8b47828aa560579253ab1e18b18bbf79e74cd1019a57b409e52a76d784e	dc66e6db32b4919ea672c9a4197d7ae62cf36f5d7cf4641f507958c089961612	False
043	step-043-clock-3456	3328	3456	128	committed	0	46e9eda6f6efc4962fe5ba1baa371c402824284264bb8eb9cb9684d0ee1b71af	41eb44ba13c53d9058aaeff0c10d86b1f87b2c9568205e71acd1cc905f481112	d148486970489b75db7c6977f684ae0b3047b542bd3558341ec60ef0f1e15465	False
044	step-044-clock-3584	3456	3584	128	committed	0	8d7e86932d7365ee850bc692476bdc234b638d90563e3348a749caa68b4a2ad9	d52f19a7ad04483d7f3424faa9c6248b8beb942bd517e240c9c9d749a1f32b6e	51b7ea32d315aeae23ffe7026bbd202f7ddf2ad123502cb9980968bf6726a1af	True
045	step-045-clock-3712	3584	3712	128	committed	0	033a780818688323f8310eca78b7b39e8427fceea9083719f501d07fcc420674	b3c2b3b31f42d5a678888548c33589292a1f4b6ceb9565003410b578a42bbd1e	be460742d362f38e1082ed4711da7d294023fd418de63f9bb02034b010195d2d	False
046	step-046-clock-3840	3712	3840	128	committed	0	85aedc558d82c68f4d754d0b0347963c5f41496924712d5a1f3c5a6045b2b94e	9f1459b63ec137abdfbec0190ecc7eff315ef283395b641914dc610f139d0f1c	7724b965444e6242b654a523d148866d346783ef8bf41effb6abad410eeb5e84	False
047	step-047-clock-3968	3840	3968	128	committed	0	45cbad150b73a280080f609f1bec8ae82534e01fe19b7fe888752332c5300f3a	c71a4b7661c22347f1a403a14fa0dc1ae6a3de1c022c30ae8698d0c62c5552ab	791e63e01520a3bad7afdc0fac9c515fc117bb188db118c63a24417c449ffe09	False
048	step-048-clock-4096	3968	4096	128	committed	0	90eb7c92cf5881a1f66a0483035d0b50f77700e9f6d0d959b71c9ac176e31ca3	d10499f331db5e9dcc6a77a09552696f29ec7e2170a9b3c6d61f0a7a38fc91a2	cae9f3ba4a3e5a12cae7d1139827ba4f45089f06ace9ef7d08212e518202d80b	True
# observer_nodes=0,512,1024,1536,2048,2560,3072,3584,4096
