attempt	clock	state_bytes	state_file_sha256	payload_sha256	attempt_file_sha256	record_file_sha256	integration_seconds	observer_seconds	error_ratio_l2	error_ratio_h1	rhs_calls	cache_hits	cache_misses	steady_allocations	observation_status
1	64	1366033529	cc823547467594ee5471c9eb864d10f7c1c7de8caade139ef809685dd701b1a6	0e5aa2cf212215002a63603153255fd8330aa8de6c565b538bd714426f8f4913	85429e4b7f7d49c26b26d189b38f87b42dd33cb7531bdfb45aa5c52a532b373b	2a65031a3d9ea9b0a074f4496b42db5fd22b7f36b9292a0b7d14b8524d1aa841	346.170822387		1.5877938231527918e-08	4.324683895722008e-08	12	7	5	0	NotScheduled
2	128	1366033529	37ad5593d9be9e9be66156d995747eb9da437df0b5e65dc23aac47dcfc16315e	1dcfdae2477603257be7a90b70c617d92e3a9aebf977cab666aea01ba73e8451	91da69947732baaa1b33852f87079302024335858ebce069710d3f91f18996c5	c0abb611ecf8b108c8296dc52dd4f0eb1d9f227e0c46a59e25e248f2940b0f25	390.575424019		0.019488866519755874	0.056250757681762485	12	7	5	0	NotScheduled
3	192	1366033529	0ad0883837d3905bf9e4f2b5ed699d942d28a25b07073f342d96546c84e2662c	1725a9ff6d955769ce7ee9e20ab01315d2c1f38c41859b5e9016973e329acb69	d4a3c54a777dcbe6d073f3a40b78d03d57f49c1be7d0ff3f54cc10227d65e814	88ff2fdfb0fdfda49adb1e5247c543c344897e44495da7a9c597cf1ae387c938	394.159540325		0.12640355447158066	0.6500798105973211	12	7	5	0	NotScheduled
4	256	1366033529	e17699e945b2b3743eb33827a70b00a526712376047390d99438b9539cf2139f	066d1831466a8bc5b1c3380d22880650201eb04a480e74f008c12f65e29c1f6f	e3abe5dbc1eaf50bab49bcee47d327d3ec6866ed552df40b2582d909315532dc	3815c49085418f2b980348109ae6a8ddb770fb8024bed43985903bdb61e85fa0	373.39426954		0.09211939773264921	0.9636019710414355	12	7	5	0	NotScheduled
5	320	1366033529	2519f275ae8185975f7683930060b2cf7e8f5bf1c9a87e31188ff7282409379b	8d678a65a4790f75dc0640587224d2fc61395d529ebcb055f21a91b309b45e5c	23d97e462c0ebff48afc83bec6429b3ebd503e7ede1e4e2f3ce2532f1e880368	0f330026c74d2c5452e42fa0a6fcb45682e6917fce41cb6711096115b824bb2a	375.457200452		0.10524118823847553	0.8213357040652263	12	7	5	0	NotScheduled
6	384	1366033529	db043cf530298a6286c8da7fd341c1bf87bcb4905f2dd865a7d83ce504b0b928	59330895aaa42d51f33ba89571308da9113dc08313d3715ac8890f5abfc9b2d4	3964c85e6af1fd92444463b0ff68ff3fc84db2620997318ff35915bf86da29f3	14dccaeca79e5d7e361dd97ba0560956f1206c998a1b5cc4527dfdcc3762fd1d	392.060607665		0.04675106312386004	0.4022063957740627	12	7	5	0	NotScheduled
7	448	1366033529	6e631fa001e840676d21a8e0fcba9a9215278a81d34834945c85165a1e6a16da	082e365bf09409e4da5b96ccf60efc5df87b1cc4b74813f6438521ef274328ac	826d637aac6405cc488b6630378f0c6b3f37e6ac6d492dfa1baadaaab414f38d	7cb053bbd01851ef10dde156c833938640f9619bd648698d6483113d18a4d2b3	416.261941069		0.021506576791995805	0.15657835400501113	12	7	5	0	NotScheduled
8	512	1366033529	7a1d8d21e17c85c7f37ea474f5f5e694a91889ebabcec12424427308d020def9	4fbfa9890470ab61dca7ddbb026fd1f93c2f0959d15bf87e713ee0a9111c02af	0702d169488e7bf50665a2bd4c38ba9341d7268c8db8e70a640f675dd428c9b7	1ff72cfc499f48b508f78ad42f25c9060894d73a94e7546e27ba7dda62d7e8b3	409.467439358	293.017052202	0.030056515230995274	0.27013802212880905	12	7	5	0	Scheduled
9	576	1366033529	7eeb6170be4dd45bd5a6927ef561eaaa0554c4ff96497df391dcf4bc704dba53	6a27f58cccdf65b2af72bf7d191c92c06bcae9b0ceb80a8bef7ccd680d2c3e19	61e2b10860265ebe5c567934528b494ce0435bf51c9bb09202ea54ac2215b005	bbb2227e20b470414a1231c3847d2624bfc8e5fc3a11580cda91211965b8ee04	411.44839567		0.030110733929246757	0.30991473365550987	12	7	5	0	NotScheduled
10	640	1366033529	462fabd4ce7e65eeec53c9c6fad97997c56e33cd72de9871b0bcf6c7b98eed79	a7666fc534c13cd932c5013de8109402fd9e3609c47b9cba52ea8bfa113c92d1	4fe789596ae26d317bf658a89d737911dd31184c9b2fb8139186bf72d37ff3b5	e47269d84a793a6bc44a7d4703e7b35b299fd2dfcf017aa7953c438b5ac59c28	382.554387602		0.024133459477917788	0.2721562287468119	12	7	5	0	NotScheduled
