quantity	region	m384_rms_error	m512_rms_error	m512_over_m384_rms	m384_peak_relative_error	m512_peak_relative_error	m512_over_m384_peak_relative
velocity	global	9.7404820427688203e-08	7.9249548629135204e-08	0.813610130	0.0042847998521086793	0.0020904728820932065	0.487881104
velocity	core	1.1029833266739981e-07	1.0667554896495179e-07	0.967154683	5.2520945543340596e-07	4.2843211274419941e-07	0.815735719
velocity	annulus	5.1315615936577241e-08	4.6074752089377528e-08	0.897870000	1.7924118951552932e-06	1.6704058093840650e-06	0.931931892
velocity	interior_outside_nominal	9.0476251906661823e-08	8.3055079136327604e-08	0.917976567	9.3462437719008291e-07	8.1471028147890918e-07	0.871698087
velocity	collar	1.9396340411143667e-07	1.5282983630554539e-07	0.787931296	0.0042847998521086793	0.0020904728820932065	0.487881104
velocity	exterior	4.4521778852935505e-08	3.9621335145182882e-08	0.889931538	0.0021095704447744420	0.0012701870284242279	0.602106951
gradient	global	1.1894111907365046e-04	9.7995328864263634e-05	0.823897821	0.15298845605909597	0.092403115640212405	0.603987504
gradient	core	4.1605350632241888e-05	2.3390331976659312e-05	0.562195285	2.0187155153282537e-05	1.1918956659080419e-05	0.590422799
gradient	annulus	4.0673324365086828e-05	2.7753043484798492e-05	0.682340180	6.5035646262674604e-05	6.2170295379716071e-05	0.955941840
gradient	interior_outside_nominal	6.1905605829970945e-05	4.1349425671973391e-05	0.667943155	1.3971838722921022e-04	8.5566955524426076e-05	0.612424443
gradient	collar	2.3859234817552862e-04	1.9316508489243612e-04	0.809603017	0.15298845605909597	0.092403115640212405	0.603987504
gradient	exterior	6.1289699865530074e-05	5.5139020079299817e-05	0.899645784	0.092175280696961057	0.058986802678325616	0.639941666
ordered_hessian	global	0.16494702826818963	0.14289332006020505	0.866298239	1.6738037091952862	1.1666952794513814	0.697032318
ordered_hessian	core	0.050385222251745354	0.028256543386651300	0.560810137	0.0011352996737143478	0.00066889935388848994	0.589183076
ordered_hessian	annulus	0.054390003960275650	0.037817872527111988	0.695309244	0.0028854998849778125	0.0025028475897548252	0.867387867
ordered_hessian	interior_outside_nominal	0.080961037296633259	0.054885653593475088	0.677926759	0.010013136359171429	0.0057637940325573987	0.575623244
ordered_hessian	collar	0.33373995496633790	0.28653807879492504	0.858566901	1.6738037091952862	1.1666952794513814	0.697032318
ordered_hessian	exterior	0.082319703250514520	0.075808527339084247	0.920903798	0.90368791734488840	0.64973644777455919	0.718983219
