quantity	region	actual_m512_rms	analytic_n384_projection_rms	actual_over_projection_rms	actual_m512_peak_relative	analytic_n384_projection_peak_relative	actual_over_projection_peak_relative
velocity	global	7.9249548629135204e-08	6.8413139634029711e-08	1.15839660411836	0.0020904728820932065	0.0020643577846850632	1.0126504705734076
velocity	core	1.0667554896495179e-07	1.8810835985069234e-08	5.6709626860615661	4.2843211274419941e-07	1.48360330370701e-07	2.8877807947292662
velocity	annulus	4.6074752089377528e-08	2.044281888326569e-08	2.2538355572427395	1.670405809384065e-06	1.6494438679393255e-06	1.0127084903294876
velocity	interior_outside_nominal	8.3055079136327604e-08	3.135866459479598e-08	2.6485528070002933	8.1471028147890918e-07	6.2743890220424315e-07	1.2984695061411824
velocity	collar	1.5282983630554539e-07	1.335028920504437e-07	1.1447679818636367	0.0020904728820932065	0.0020643577846850632	1.0126504705734076
velocity	exterior	3.9621335145182882e-08	3.9599052165593769e-08	1.0005627149734779	0.0012701870284242279	0.001256687848522959	1.0107418719112586
gradient	global	9.7995328864263634e-05	9.7932401328094492e-05	1.0006425609432197	0.092403115640212405	0.092648560798793411	0.99735079361767909
gradient	core	2.3390331976659312e-05	2.3180836841313379e-05	1.0090374276295568	1.1918956659080419e-05	1.1810511432251352e-05	1.0091820940567342
gradient	annulus	2.7753043484798492e-05	2.7747306210795063e-05	1.0002067686844929	6.2170295379716071e-05	6.2159223096676413e-05	1.0001781277578459
gradient	interior_outside_nominal	4.1349425671973391e-05	4.1329224163454268e-05	1.0004887947675771	8.5566955524426076e-05	8.4921030113661682e-05	1.0076061890664758
gradient	collar	0.00019316508489243612	0.00019301531249698485	1.000775961210091	0.092403115640212405	0.092648560798793411	0.99735079361767909
gradient	exterior	5.5139020079299817e-05	5.512908402835248e-05	1.0001802324693483	0.058986802678325616	0.058734641303066513	1.0042932308713348
ordered_hessian	global	0.14289332006020505	0.14287949615532405	1.0000967521950523	1.1666952794513814	1.1656341091952513	1.0009103802366102
ordered_hessian	core	0.0282565433866513	0.028147382971518906	1.0038781728035906	0.00066889935388848994	0.0006620242479527138	1.0103849760141523
ordered_hessian	annulus	0.037817872527111988	0.037823258768786318	0.99985759445775801	0.0025028475897548252	0.0025027683048912514	1.0000316788667247
ordered_hessian	interior_outside_nominal	0.054885653593475088	0.054879030046891875	1.0001206935796343	0.0057637940325573987	0.005779190401827246	0.99733589513420784
ordered_hessian	collar	0.28653807879492504	0.28651495892569756	1.0000806934106135	1.1666952794513814	1.1656341091952513	1.0009103802366102
ordered_hessian	exterior	0.075808527339084247	0.075796280151857784	1.0001615803203261	0.64973644777455919	0.65097370939069377	0.99809936776510888
