quantity	region	n384_m768_rms	n512_m1024_rms	n384_over_n512_rms	n384_m768_peak_relative	n512_m1024_peak_relative	n384_over_n512_peak_relative
velocity	global	6.8413139634029711e-08	6.0290364289157922e-09	11.347275877437768	0.0020643577846850632	0.00020484041732629087	10.077883123020307
velocity	core	1.8810835985069234e-08	1.6486101308494792e-09	11.410117912702972	1.48360330370701e-07	1.6340937827955393e-08	9.0790584930133171
velocity	annulus	2.044281888326569e-08	1.6709408715543236e-09	12.234316145639314	1.6494438679393255e-06	9.5079524595726036e-08	17.348044965019422
velocity	interior_outside_nominal	3.135866459479598e-08	2.5816411038713121e-09	12.146794745316051	6.2743890220424315e-07	4.5498785713033e-08	13.79023401111373
velocity	collar	1.335028920504437e-07	1.177213876102378e-08	11.34058090552387	0.0020643577846850632	0.00020484041732629087	10.077883123020307
velocity	exterior	3.9599052165593769e-08	3.5003046617757418e-09	11.31303014792568	0.001256687848522959	0.00013832701624698809	9.0849053396705646
gradient	global	9.7932401328094492e-05	1.1274478371833351e-05	8.686202420925806	0.092648560798793411	0.012053961716113301	7.6861502451052388
gradient	core	2.3180836841313379e-05	2.6731538451314517e-06	8.6717181966657311	1.1810511432251352e-05	1.3393516585461658e-06	8.8180810147137763
gradient	annulus	2.7747306210795063e-05	2.9751659316646973e-06	9.3263054391287632	6.2159223096676413e-05	4.8371299121786324e-06	12.850434911862857
gradient	interior_outside_nominal	4.1329224163454268e-05	4.5057222782723004e-06	9.1726079884581306	8.4921030113661682e-05	8.9999977659830957e-06	9.4356723547903592
gradient	collar	0.00019301531249698485	2.2162030954028446e-05	8.709279077236376	0.092648560798793411	0.012053961716113301	7.6861502451052388
gradient	exterior	5.512908402835248e-05	6.4291391328377631e-06	8.5748780496556165	0.058734641303066513	0.0073682579239406848	7.9713063670352771
ordered_hessian	global	0.14287949615532405	0.02140217378759238	6.6759338361300715	1.1656341091952513	0.2030223492376691	5.7414078478162818
ordered_hessian	core	0.028147382971518906	0.0043824759483703799	6.4227124810543428	0.0006620242479527138	0.00010376046594812501	6.3803129824387304
ordered_hessian	annulus	0.037823258768786318	0.0053621040061120027	7.053809237134046	0.0025027683048912514	0.00030052701358610287	8.3279312399455652
ordered_hessian	interior_outside_nominal	0.054879030046891875	0.0078949362777631718	6.951168206571066	0.005779190401827246	0.00080124132552097851	7.212796217256435
ordered_hessian	collar	0.28651495892569756	0.042834646266189789	6.6888601611226406	1.1656341091952513	0.2030223492376691	5.7414078478162818
ordered_hessian	exterior	0.075796280151857784	0.011473107768468912	6.6064297208264442	0.65097370939069377	0.11655510100659296	5.5851155699643842
