PID PPID PGID PSR %CPU %MEM RSS STAT COMMAND
1 0 1 47 0.5 0.0 12912 Ss init
2 0 0 92 0.0 0.0 0 S [kthreadd]
3 2 0 1 0.0 0.0 0 S [pool_workqueue_release]
4 2 0 0 0.0 0.0 0 I< R-rcu_g]
5 2 0 0 0.0 0.0 0 I< R-rcu_p]
6 2 0 0 0.0 0.0 0 I< R-slub_]
7 2 0 0 0.0 0.0 0 I< R-netns]
10 2 0 0 0.0 0.0 0 I< 0:0H-events_highpri]
12 2 0 0 0.0 0.0 0 I< R-mm_pe]
13 2 0 0 0.0 0.0 0 I [rcu_tasks_kthread]
14 2 0 0 0.0 0.0 0 I [rcu_tasks_rude_kthread]
15 2 0 0 0.0 0.0 0 I [rcu_tasks_trace_kthread]
16 2 0 0 0.0 0.0 0 S 0]
17 2 0 90 0.1 0.0 0 I [rcu_preempt]
18 2 0 0 0.0 0.0 0 S 0]
19 2 0 0 0.0 0.0 0 S 0]
20 2 0 0 0.0 0.0 0 S 0]
21 2 0 1 0.0 0.0 0 S 1]
22 2 0 1 0.0 0.0 0 S 1]
23 2 0 1 0.0 0.0 0 S 1]
24 2 0 1 0.0 0.0 0 S 1]
26 2 0 1 0.0 0.0 0 I< 1:0H-events_highpri]
27 2 0 2 0.0 0.0 0 S 2]
28 2 0 2 0.0 0.0 0 S 2]
29 2 0 2 0.0 0.0 0 S 2]
30 2 0 2 0.0 0.0 0 S 2]
32 2 0 2 0.0 0.0 0 I< 2:0H-events_highpri]
33 2 0 3 0.0 0.0 0 S 3]
34 2 0 3 0.0 0.0 0 S 3]
35 2 0 3 0.0 0.0 0 S 3]
36 2 0 3 0.0 0.0 0 S 3]
38 2 0 3 0.0 0.0 0 I< 3:0H-events_highpri]
39 2 0 4 0.0 0.0 0 S 4]
40 2 0 4 0.0 0.0 0 S 4]
41 2 0 4 0.0 0.0 0 S 4]
42 2 0 4 0.0 0.0 0 S 4]
44 2 0 4 0.0 0.0 0 I< 4:0H-events_highpri]
45 2 0 5 0.0 0.0 0 S 5]
46 2 0 5 0.0 0.0 0 S 5]
47 2 0 5 0.0 0.0 0 S 5]
48 2 0 5 0.0 0.0 0 S 5]
50 2 0 5 0.0 0.0 0 I< 5:0H-events_highpri]
51 2 0 6 0.0 0.0 0 S 6]
